TVProgramName,StartHour,StartMinute
バラエティ,0,0
ショッピングCM,0,57
ドキュメンタリー,1,0
ショッピングCM,2,45
カラーバー,3,0
サンドストーム,4,0
カラーバー,5,0
企業CM,5,55
ニュース,6,0
天気予報,6,15
エクササイズ,6,30
フルーツCM,6,59
ニュース,7,0
天気予報,7,45
ショッピングCM,7,59
ドラマ,8,0
ショッピングCM,8,29
ドキュメンタリー,8,30
季節のCM,9,18
フルーツCM,9,19
ドキュメンタリー,9,20
ショッピングCM,9,59
アニメ,10,0
おやつCM,10,29
アニメ,10,30
企業CM,10,59
料理番組,11,0
フルーツCM,11,29
ニュース,11,30
天気予報,11,45
季節のCM,11,59
バラエティ,12,0
フルーツCM,12,29
バラエティ,12,30
ショッピングCM,12,59
ドラマ,13,0
企業CM,13,29
ドラマ,13,30
フルーツCM,13,58
企業CM,13,59
対談番組,14,0
おやつCM,14,29
対談番組,14,30
季節のCM,14,59
エクササイズ,15,0
フルーツCM,15,29
エクササイズ,15,30
季節のCM,15,59
子ども番組,16,0
おやつCM,16,29
子ども番組,16,30
企業CM,16,59
バラエティ,17,0
おやつCM,17,29
バラエティ,17,30
フルーツCM,17,58
季節のCM,17,59
ニュース,18,0
天気予報,18,30
企業CM,18,59
スポーツ,19,0
ショッピングCM,19,57
スポーツ,20,0
企業CM,20,57
おやつCM,20,58
季節のCM,20,59
音楽番組,21,0
企業CM,21,29
音楽番組,21,30
フルーツCM,21,59
ニュース,22,0
天気予報,22,45
季節のCM,22,59
クイズ,23,0
フルーツCM,23,29
クイズ,23,30
企業CM,23,55
