TVProgramName,StartHour,StartMinute
バラエティ,0,0
ショッピングCM,0,57
ドキュメンタリー,1,0
ショッピングCM,2,45
カラーバー,3,0
サンドストーム,4,0
カラーバー,5,0
おやつCM,5,55
ニュース,6,0
天気予報,6,15
エクササイズ,6,30
ショッピングCM,6,59
ニュース,7,0
天気予報,7,45
ショッピングCM,7,59
ドラマ,8,0
ショッピングCM,8,29
ドキュメンタリー,8,30
季節のCM,9,18
フルーツCM,9,19
ドキュメンタリー,9,20
ショッピングCM,9,59
子ども番組,10,0
フルーツCM,10,29
子ども番組,10,30
企業CM,10,59
料理番組,11,0
フルーツCM,11,29
ニュース,11,30
天気予報,11,45
季節のCM,11,59
バラエティ,12,0
フルーツCM,12,29
バラエティ,12,30
ショッピングCM,12,59
ドラマ,13,0
企業CM,13,29
対談番組,13,30
フルーツCM,13,58
おやつCM,13,59
バラエティ,14,0
フルーツCM,14,29
バラエティ,14,30
ショッピングCM,14,59
エクササイズ,15,0
企業CM,15,29
エクササイズ,15,30
季節のCM,15,59
アニメ,16,0
おやつCM,16,29
アニメ,16,30
企業CM,16,59
バラエティ,17,0
季節のCM,17,29
バラエティ,17,30
フルーツCM,17,59
ニュース,18,0
天気予報,18,30
企業CM,18,59
バラエティ,19,0
季節のCM,19,29
バラエティ,19,30
おやつCM,19,59
クイズ,20,0
フルーツCM,20,29
クイズ,20,30
フルーツCM,20,57
季節のCM,20,58
企業CM,20,59
ドラマ,21,0
季節のCM,21,29
ドラマ,21,30
フルーツCM,21,59
ニュース,22,0
天気予報,22,45
ショッピングCM,22,59
バラエティ,23,0
企業CM,23,29
バラエティ,23,30
ショッピングCM,23,55
