TVProgramName,StartHour,StartMinute
カラーバー,0,0
サンドストーム,1,0
？,3,33
サンドストーム,3,34
カラーバー,5,0
おやつCM,5,55
ニュース,6,0
天気予報,6,15
エクササイズ,6,30
季節のCM,6,59
ニュース,7,0
天気予報,7,45
季節のCM,7,59
バラエティ,8,0
企業CM,8,29
バラエティ,8,30
おやつCM,8,59
ドキュメンタリー,9,0
ショッピングCM,9,29
ドキュメンタリー,9,30
ショッピングCM,9,59
子ども番組,10,0
フルーツCM,10,29
子ども番組,10,30
企業CM,10,59
ニュース,11,0
天気予報,11,45
ショッピングCM,11,59
バラエティ,12,0
フルーツCM,12,29
バラエティ,12,30
ショッピングCM,12,59
対談番組,13,0
企業CM,13,59
ドキュメンタリー,14,0
おやつCM,14,29
ドキュメンタリー,14,30
季節のCM,14,59
スポーツ,15,0
おやつCM,15,50
スポーツ,15,51
季節のCM,16,59
バラエティ,17,0
おやつCM,17,29
バラエティ,17,30
企業CM,17,59
ニュース,18,0
天気予報,18,45
企業CM,18,59
クイズ,19,0
季節のCM,19,29
クイズ,19,30
おやつCM,19,59
バラエティ,20,0
フルーツCM,20,57
季節のCM,20,58
おやつCM,20,59
映画,21,0
企業CM,21,54
映画,21,55
季節のCM,22,44
天気予報,22,45
ニュース,23,0
ショッピングCM,23,29
料理番組,23,30
企業CM,23,55
