613c3c15.HashRef,e188994e.HashRef,NpcFtrActionInterest,87589dce.HashRef,NpcFtrActionTool,de02419d u16,e362682d u16,UniqueID,EntryName,ac9e9a2 string64,Label,Name,26e57a14 u8,NpcFtrActionAsName,b5b58ff4 string64,630f2b53 string67
None,All,None,Free,65534,-2,-2,0,,,None,なし,0,,,
Npc,Back,None,Ftr,7313,-2,-2,1,Book,教卓,Teacher_Book_Explain,学校：先生：読書：説明,0,NpcConversationTeacherExplain,NpcConversationStudentQuesution,学校：生徒：読書
None,All,Wander,Free,13444,-2,-2,2,CarryTray,,Waiter_Walk,飲食店：店員：おぼん片手にぶらつく,0,,,
None,All,Sit,Ftr,13835,-2,-2,3,,,Drink_GlassJuice,飲食店：客：飲む（趣味グラス）,0,NpcDrinkingExist,,
None,All,Bed,Ftr,65534,-2,-2,4,Bed,ベッド,Bed,汎用：寝る,0,,,
None,Front,None,Ftr,65534,-2,-2,5,Register,レジ,RestaurantCashier_Wait,飲食店：レジ打ち：待機,0,CommonStandWait,,
None,All,Sit,Ftr,65534,-2,-2,6,Sit,椅子,Sit,汎用：座る,0,,,
None,All,Wander,Free,65534,-2,-2,7,Walk,,Walk,汎用：ぶらつく,0,,,
None,All,Sit,Ftr,7313,-2,-2,8,Sleep,椅子,Student_Sleep,学校：生徒：居眠り,1,NpcConversationStudentSleep,MaReOutraged,学校：先生：ぶらつく
None,All,Sit,Ftr,7313,-2,-2,9,Book,椅子,Student_Book,学校：生徒：読書,0,NpcBookExist,,
None,Back,None,Ftr,65534,-2,-2,10,,受付,Reception_Wait,病院：受付,0,CommonStandWait,,
None,All,Sit,Ftr,65534,-2,-2,11,SitSick,椅子,HospitalPatient_Sit,病院：患者：辛そうに座る,0,NpcSickChairSitting,,
None,All,Sit,Ftr,14639,-2,-2,12,Book,椅子,Book,汎用：読書（趣味ほん）,0,NpcBookExist,,
Npc,All,Sit,Npc,13445,-2,-2,13,,医者の椅子,HospitalDoctor,病院：診察室：医者：カルテを見る,0,NpcMedicalRecord,NpcConversationTalkExamination,病院：診察室：患者：辛そうに座る
Npc,All,Sit,Ftr,65534,-2,-2,14,Consult,患者の椅子,HospitalExamination_Sit,病院：診察室：患者：辛そうに座る,0,NpcSickChairSitting,,
None,Front,None,Ftr,13443,-2,-2,15,Cook,コンロ,RestaurantCook_Cooking,キッチン：料理長：料理をする,0,NpcFryingpanShake,,
None,All,Sit,Ftr,13440,-2,-2,16,Cutlery,椅子,RestaurantCustome_Forks,飲食店：客：フォークナイフでにこにこ,0,NpcForks,,
None,All,Sit,Ftr,4388,-2,-2,17,DrinkCoffee,椅子,RestaurantCustome_Drink_Coffee,飲食店：客：飲む（コーヒー）,0,NpcDrinkingExist,,
None,All,Sit,Ftr,7670,-2,-2,18,DrinkTea,椅子,RestaurantCustome_Drink_Tea,飲食店：客：飲む（紅茶）,0,NpcDrinkingExist,,
None,All,Wander,Free,7313,-2,-2,20,Walk,,Teacher_Walk,学校：先生：ぶらつく,0,,,
Window,All,None,Window,4388,-2,-2,21,WatchWindow,,Teacher_WatchWindow,学校：先生：窓を見る,0,NpcWatchWindow,,
None,All,Bed,Ftr,65534,-2,-2,22,BedSick,ベッド,HospitalPatient_Bed,病院：患者：辛そうに寝る,0,NpcSickBedSleep,,
None,All,Sit,Ftr,8573,-2,-2,24,,椅子,RestaurantCustome_FullStomach,飲食店：客：おなかいっぱい,0,NpcFullStomach,,
None,All,Sit,Ftr,5397,-2,-2,25,,椅子,SmartPhoneCheck,汎用：スマホを見る,0,NpcSmartPhoneCheckExist,,
None,All,None,Free,65534,-2,-2,26,,,Wait,汎用：待機,0,CommonStandWait,,
None,Back,None,Ftr,13445,-2,-2,27,Reception,受付,Reception_Looking,病院：受付：カルテ見る,0,NpcOrderList,,
None,All,Sit,Ftr,7398,-2,-2,28,,椅子,Student_Eat,学校：生徒：早弁,0,NpcEatingExist,,
None,All,Wander,Free,14790,-2,-2,29,,,WalkShopping,汎用：ぶらつく（趣味かばん）,0,,,
None,All,None,Ftr,65534,-2,-2,30,WatchTorso,トルソー,WalkStare,服屋：客：まじまじ見る（トルソー）,0,NpcWatchFacility,,
None,All,Sit,Ftr,7313,-2,-2,31,,椅子,Student_SpaceOut,学校：生徒：ぼーっとする,0,NpcSpaceOut,,
None,Front,None,Ftr,13443,-2,-2,34,Cook,コンロ,RestaurantApprentice_Cooking,キッチン：見習い：料理をする（失敗）,1,NpcFryingpanMistake,NpcConversationTalkCook,キッチン：料理長：ぶらつく（ソースパン）
None,All,Wander,Free,14513,-2,-2,36,,,Waiter_StandBy,飲食店：店員：ぶらつく（ピッチャー）,0,,,
None,All,Wander,Free,14718,-2,-2,37,,,RestaurantCook_Walking,キッチン：料理長：ぶらつく（ソースパン）,0,,,
None,All,Wander,Free,14511,-2,-2,38,,,RestaurantApprentice_Dish,キッチン：見習い：ぶらつく（皿）,0,,,
Window,All,Sit,Ftr,65534,-2,-2,39,,椅子,SpaceOut,汎用：ぼーっとする,0,NpcSpaceOut,,
None,All,None,Free,14638,-2,-2,40,,,WaitConversation,汎用：雑談：話し手（趣味かん）,0,NpcDrinkingExist,,
None,All,None,Npc,14638,-2,-2,41,,,WaitConversationAnswer,汎用：雑談：聞き手（趣味かん）,1,NpcDrinkingExist,NpcConversationTalkExist,汎用：雑談：話し手（趣味かん）
None,Front,None,Ftr,14507,-2,-2,42,,レジ,RestaurantCashier_OrderList,飲食店：レジ打ち：オーダーリストを見てる,0,NpcOrderList,,
Npc,All,Sit,Ftr,7313,-2,-2,43,,椅子,Student_StareSleeping,学校：生徒：寝てる生徒を見る,0,NpcSpaceOut,,学校：生徒：居眠り
Npc,All,None,Npc,13445,-2,-2,44,Examine,,HospitalDoctorStand,病院：診察室：医者：診察する,0,NpcMedicalCheck,NpcMedicalCheckAnswer,病院：診察室：患者：辛そうに座る
None,Back,None,Ftr,7313,-2,-2,45,,教卓,Teacher_Book,学校：先生：読書,0,NpcBookExist,,
None,All,Sit,Npc,13835,-2,-2,46,,椅子,SitConversationAnswer,汎用：雑談：座り：聞き手（趣味グラス）,0,NpcDrinkingExist,NpcConversationTalkExist,飲食店：客：飲む（趣味グラス）
None,All,Wander,Free,13835,-2,-2,49,,,RestaurantCustome_Walk,飲食店：客：ぶらつく（趣味グラス）,0,,,
None,All,None,Ftr,65534,-2,-2,52,LookFtr,,Cafe_Watching,カフェ：ギャラリー：まじまじ見る,0,NpcWatchFacility,,
None,All,None,Free,7313,-2,-2,53,,,Teacher_Stock,学校：先生：保険挙動,0,NpcBookExist,,
None,All,None,Free,7313,-2,-2,54,,,Student_Stock,学校：生徒：保険挙動,0,NpcBookExist,,
None,All,None,Free,13445,-2,-2,55,,,Reception_Stock,病院：受付：保険挙動,0,NpcOrderList,,
None,All,None,Free,14639,-2,-2,56,,,HospitalPatient_Stock,病院：患者：保険挙動（趣味ほん）,0,NpcBookExist,,
Npc,All,None,Free,13445,-2,-2,57,,,HospitalDoctor_Stock,病院：診察室：医者：保険挙動,0,NpcMedicalRecord,,
Npc,All,None,Free,65534,-2,-2,58,,,HospitalExamination_Stock,病院：診察室：患者：保険挙動,0,NpcSickChairSitting,,
None,All,Wander,Free,13444,-2,-2,60,,,RestaurantCashier_Stock,飲食店：レジ打ち：保険挙動,0,,,
None,All,Wander,Free,14513,-2,-2,61,,,Waiter_Stock,飲食店：店員：保険挙動,0,,,
None,All,None,Free,5397,-2,-2,62,,,RestaurantCustome_Stock,飲食店：客：保険挙動,0,NpcSmartPhoneCheckExist,,
None,All,Wander,Free,14718,-2,-2,63,,,RestaurantCook_Stock,キッチン：料理長：保険挙動,0,,,
None,All,Wander,Free,14511,-2,-2,64,,,RestaurantApprentice_Stock,キッチン：見習い：保険挙動,0,,,
None,All,Wander,Free,13835,-2,-2,65,,,RestaurantVip_Stock,VIPルーム：保険挙動（趣味グラス）,0,,,
None,All,Wander,Free,4388,-2,-2,67,,,Cafe_Stock,カフェ：客：保険挙動,0,,,
None,All,Wander,Free,14790,-2,-2,68,,,WalkShopping_Stock,服屋：客：保険挙動（趣味かばん）,0,,,
