UniqueID,FtrType0,FtrType1,FtrType2,FtrType3,LimitNum0,LimitNum1,LimitNum2,LimitNum3,PlaceNpcNum,RequestNum0,RequestNum1,RequestNum2,RequestNum3,RoomSizeX,RoomSizeY
0,0,1,2,0,0,0,0,-1,3,1,2,4,-1,10,8
1,3,2,0,0,0,0,-1,-1,3,1,4,-1,-1,10,8
2,12,5,6,0,0,0,0,-1,3,1,1,1,-1,6,8
3,7,0,0,0,0,-1,-1,-1,3,3,-1,-1,-1,8,8
4,8,9,2,0,0,0,0,-1,4,1,1,4,-1,10,10
5,10,0,0,0,0,-1,-1,-1,3,2,-1,-1,-1,6,6
6,8,9,2,0,0,0,0,-1,4,1,1,4,-1,10,10
7,8,11,0,0,0,6,-1,-1,3,1,1,-1,-1,8,6
8,0,0,0,0,-1,-1,-1,-1,3,-1,-1,-1,-1,6,6
9,0,0,0,0,-1,-1,-1,-1,4,-1,-1,-1,-1,6,6
10,9,2,0,0,0,0,-1,-1,3,1,2,-1,-1,6,6
