ItemUniqueID,UnlockTheme0,UnlockTheme1,UnlockTheme10,UnlockTheme11,UnlockTheme12,UnlockTheme13,UnlockTheme14,UnlockTheme15,UnlockTheme16,UnlockTheme17,UnlockTheme18,UnlockTheme19,UnlockTheme2,UnlockTheme20,UnlockTheme21,UnlockTheme22,UnlockTheme23,UnlockTheme24,UnlockTheme25,UnlockTheme26,UnlockTheme27,UnlockTheme28,UnlockTheme29,UnlockTheme3,UnlockTheme30,UnlockTheme31,UnlockTheme32,UnlockTheme33,UnlockTheme34,UnlockTheme35,UnlockTheme36,UnlockTheme37,UnlockTheme38,UnlockTheme39,UnlockTheme4,UnlockTheme5,UnlockTheme6,UnlockTheme7,UnlockTheme8,UnlockTheme9,RolePriority,TargetItems,befc0baf string5
10,93,95,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,142,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,155,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,410,65534,65534,65534,65534,65534,0,0,
10000,123,217,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,0,0,
10001,123,217,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,0,0,
10003,72,299,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,0,0,
10004,299,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,0,0,
10005,299,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,0,0,
10006,299,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,0,0,
10007,299,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,0,0,
10008,299,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,0,0,
10009,299,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,65534,0,0,
