PurposeScore,PurposeTag,ScoreMultiplier,SeasonScore,TasteScore,UniqueID,CapFrequencyWear,CapPurposeLimit,ClothesFrequencyWear,ClothesPurposeLimit,GlassesFrequencyWear,GlassesPurposeLimit,MaskFrequencyWear,MaskPurposeLimit
0,9,3,0,0,1,0,0,0,0,0,0,0,0
5,50,4,0,5,2,0,1,3,1,3,1,0,0
5,33,4,0,5,3,0,0,3,1,0,0,0,0
5,34,4,0,5,4,2,1,3,1,0,0,0,0
5,36,4,0,5,5,0,0,3,1,2,1,0,0
5,45,4,0,5,6,0,0,3,1,0,0,0,0
5,42,4,0,5,7,0,0,3,1,0,0,0,0
5,43,4,0,5,8,0,0,3,1,0,0,0,0
5,41,4,0,5,9,0,0,3,1,0,0,0,0
5,40,4,0,5,10,3,1,3,1,0,0,0,0
