21eefaac u32,7e27475f u32,39873d8f u32,3e4510fa u16,UniqueID,e1ec58d6 u16,2e7476b string65,3fdeeab4 u16,767f28cb u8,b62dac63 u8,f0b8307e string33,d3e7208f u8,f2667fb4 u8,a1b38bfd string8,62a2abe9 string34
0,0,0,2,0,14639,NpcBookExist,0,8,1,Read_S,1,1,,Unlock_NPC_00
0,0,0,2,1,14632,NpcEatingExist,0,8,1,Eat_S,1,1,+,Unlock_NPC_00
0,0,0,2,2,-2,NpcGymnasticsExist,16,4,1,Gym,1,1,,Unlock_NPC_00
0,0,0,2,5,-2,NpcMove,0,0,1,Wander,1,1,,Unlock_NPC_00
0,0,0,2,6,-2,CommonStandWait,0,0,1,Wait,1,1,,Unlock_NPC_00
0,0,0,7,7,-2,NpcHula,4,68,1,Hula,1,1,,Unlock_NPC_00
0,0,0,2,8,-2,NpcStepOn,4,0,1,StepOn_S,0,1,@,Unlock_NPC_00
0,0,0,2,9,-2,NpcSitOnGround,0,8,1,SitGround_S,1,1,+,Unlock_NPC_00
0,0,0,2,10,-2,NpcSmellExistField,16,4,0,Smell_NE,0,1,,Unlock_NPC_04
0,0,0,2,11,-2,NpcWatchDisplay,128,4,0,Watch_NW,0,1,,Unlock_NPC_07
0,0,0,2,13,-2,NpcStepOn,32,0,1,StepOn_SE,0,1,,Unlock_NPC_00
0,0,0,2,14,14632,NpcEatingExist,32,8,1,Eat_SE,1,1,,Unlock_NPC_00
0,0,0,2,15,14632,NpcEatingExist,64,8,1,Eat_SW,1,1,1,Unlock_NPC_00
0,0,0,2,16,14632,NpcEatingExist,16,12,1,Eat_NE,1,1,,Unlock_NPC_00
0,0,0,2,17,-2,NpcStepOn,64,0,1,StepOn_SW,0,1,T,Unlock_NPC_00
0,0,0,2,18,14639,NpcBookExist,64,8,1,Read_SW,1,1,,Unlock_NPC_00
0,0,0,2,19,14639,NpcBookExist,32,8,1,Read_SE,1,1,,Unlock_NPC_00
0,0,0,2,20,-2,NpcSitOnGround,32,8,1,SitGround_SE,1,1,
,Unlock_NPC_00
0,0,0,2,21,-2,NpcSitOnGround,64,8,1,SitGround_SW,1,1,1,Unlock_NPC_00
0,0,0,2,22,-2,NpcSitOnGround,16,12,1,SitGround_NE,1,1,,Unlock_NPC_00
0,0,0,2,24,7670,NpcDrinkingExist,0,1,1,Drink_Chair,1,1,,Unlock_NPC_00
0,0,0,5,25,-2,NpcFloating,64,4,0,Float_SW,1,1,,Unlock_NPC_00
0,0,0,5,26,-2,NpcFloating,32,4,0,Float_SE,1,1,,Unlock_NPC_00
0,0,0,2,28,-2,NpcStepOn,16,4,1,StepOn_NE,0,1,,Unlock_NPC_00
0,0,0,2,30,-2,NpcStepOn,1,4,1,StepOn_N,0,1,,Unlock_NPC_00
0,0,0,2,31,14639,NpcBookExist,0,1,0,Book_Chair,1,1,,Unlock_NPC_00
0,0,0,2,32,14632,NpcEatingExist,0,1,1,Eat_Chair,1,1,,Unlock_NPC_00
0,0,0,2,33,-2,NpcSpaceOut,0,1,1,SpaceOut_Chair,1,1,,Unlock_NPC_00
0,4,1,2,34,-2,NpcIntoSwitch,0,20,1,Switch_Repeat,1,1,,Unlock_NPC_00
5,6,0,5,36,-2,NpcSitOnGround,256,24,0,SitGround_Ftr,1,1,,Unlock_NPC_00
0,0,0,4,37,-2,CommonStandWait,0,0,1,KKFes,1,1,,SeqKKRave1stDone
0,0,0,2,38,-2,NpcYogaExist,4,68,1,Yoga_S,1,0,,Unlock_NPC_00
0,0,0,2,39,-2,NpcYogaExist,64,68,1,Yoga_SW,1,0,,Unlock_NPC_00
0,0,0,2,40,7399,NpcDrinkingExist,4,8,1,Drink_S,1,1,+,Unlock_NPC_00
0,0,0,2,41,7399,NpcDrinkingExist,32,8,1,Drink_SE,1,1,,Unlock_NPC_00
0,0,0,2,42,-2,NpcGymnasticsExist,64,4,1,Gym_SW,1,1,,Unlock_NPC_00
0,0,0,2,43,-2,NpcGymnasticsExist,32,4,1,Gym_SE,1,1,,Unlock_NPC_00
0,0,0,2,44,7399,NpcDrinkingExist,64,8,1,Drink_SW,1,1,1,Unlock_NPC_00
0,0,0,2,45,-2,NpcYogaExist,32,68,1,Yoga_SE,1,0,,Unlock_NPC_00
