PointIndex,RailIndex,UniqueID,ForFes,ForShareHouse,Label
0,1,0,0,0,Point1_0
0,2,2,0,0,Point2_0
1,2,3,0,0,Point2_1
0,3,4,0,0,Point3_0
1,3,5,0,0,Point3_1
0,4,6,0,0,Point4_0
1,4,7,0,0,Point4_1
0,5,9,0,0,Point5_0
1,5,10,0,0,Point5_1
0,6,11,0,0,Point6_0
1,6,12,0,0,Point6_1
-1,-1,16,0,0,Office
-1,-1,17,0,0,Customer
-1,-1,18,0,0,ShareHouse
-1,-1,19,0,0,Villager
0,7,21,0,1,Point7_0
1,7,22,0,1,Point7_1
2,7,23,0,0,Point7_2
0,8,24,0,1,Point8_0
1,8,25,0,1,Point8_1
2,8,26,0,1,Point8_2
3,8,27,0,1,Point8_3
0,10,28,0,0,Point10_0
1,10,29,0,0,Point10_1
2,10,30,0,0,Point10_2
3,10,31,0,0,Point10_3
0,11,32,0,1,Point11_0
1,11,33,0,1,Point11_1
2,6,35,0,0,Point6_2
0,12,38,0,1,Point12_0
1,12,39,0,1,Point12_1
4,8,40,0,0,Point8_4
5,8,41,0,0,Point8_5
6,8,42,0,0,Point8_6
7,8,43,0,0,Point8_7
2,11,44,0,0,Point11_2
3,11,45,0,0,Point11_3
0,13,46,1,0,Point13_0
1,13,47,1,0,Point13_1
2,13,48,1,1,Point13_2
3,13,49,1,1,Point13_3
4,13,50,1,1,Point13_4
5,13,51,1,0,Point13_5
6,13,52,1,0,Point13_6
7,13,53,1,0,Point13_7
8,13,54,1,1,Point13_8
9,13,55,1,0,Point13_9
10,13,56,1,0,Point13_10
11,13,57,1,0,Point13_11
12,13,58,1,0,Point13_12
13,13,59,1,0,Point13_13
14,13,60,1,0,Point13_14
15,13,61,1,0,Point13_15
16,13,62,1,0,Point13_16
17,13,63,1,0,Point13_17
0,14,64,0,0,Point14_0
1,14,65,0,0,Point14_1
2,14,66,0,0,Point14_2
18,13,68,1,0,Point13_18
3,6,69,0,0,Point6_3
