9d9906d2 u32,ddd67ea4 u32,5b589691 u32,36c903a7 u16,UniqueID,dfc1edb2 u8,da0c5d33 u8,c223cae9 string11,9d0b6948 u8,f0b8307e string33,38501139 u8,62a2abe9 string36
2,1,-1,1,0,0,0,,0,AreaV1,2,Unlock_NPC_00
1,1,-1,0,1,0,0,,0,AreaV2,1,Unlock_NPC_00
2,1,-1,3,2,0,0,,0,AreaV3,4,Unlock_NPC_00
2,1,-1,2,3,0,0,,0,AreaV4,3,Unlock_NPC_01
2,1,-1,3,4,0,0,,0,AreaV5,6,Unlock_NPC_01
6,4,-1,8,5,1,0,,1,Area1,8,Unlock_NPC_01
2,0,-1,0,6,1,0,,0,Area2,12,Unlock_NPC_03
2,0,-1,0,7,1,0,,0,Area3,10,Unlock_NPC_03
2,0,-1,4,8,1,0,,0,Area4,11,Unlock_NPC_04
2,0,-1,5,9,1,0,,0,Area5,7,Unlock_NPC_04
1,0,0,0,10,1,0,,0,Root1,255,Unlock_NPC_01
1,0,1,0,11,1,0,,0,Root2,255,Unlock_NPC_04
1,0,2,0,12,1,0,,0,Root3,255,Unlock_NPC_06
15,15,-1,0,13,0,1,,0,KKFes,13,Unlock_NPC_01
0,0,-1,0,14,0,0,,0,Spare2,255,Unlock_NPC_09
0,0,-1,0,15,0,0,,0,Spare3,255,Unlock_NPC_09
