721fe9fc string,b11dff44 u16,cbddac24 u16,539cc0ca u16,EditBaseUnitX,EditBaseUnitZ,352c163e u16,Ftr1OffsetX,Ftr1OffsetZ,Ftr2OffsetX,Ftr2OffsetZ,UniqueID,WeatherPattern0,WeatherPattern1,WeatherPattern2,WeatherPattern3,e638a9c7 u8,Day0,Day1,Day2,Day3,Desert,Ice,Inland,Month0,Month1,Month2,Month3,53520a06 u8,Snow
Right,0,0,1,33,35,0,16,12,12,12,0,0,0,0,0,0,25,21,15,20,0,0,0,3,7,11,12,1,0
Left,0,0,0,33,35,0,2,10,10,16,1,0,0,0,0,0,10,5,22,25,0,0,1,4,7,11,12,0,0
56558.07,0,0,0,33,35,0,14,12,8,12,2,0,0,0,0,0,20,10,15,25,0,1,1,3,7,11,12,3,1
56558.07,0,0,0,33,35,0,14,12,10,12,3,0,0,0,0,0,10,20,5,25,0,0,1,4,6,11,12,3,1
56558.07,0,0,0,33,35,0,16,10,12,10,4,0,0,0,0,0,10,20,20,30,0,0,1,4,7,11,12,0,0
56558.07,0,0,0,33,35,0,18,10,14,10,5,0,0,0,0,0,15,10,12,5,0,0,1,5,8,11,1,2,0
56558.07,0,0,0,33,35,0,18,12,14,12,6,0,0,0,0,0,30,25,15,10,0,0,1,3,6,11,1,2,0
56558.07,0,0,0,33,35,0,16,10,10,10,7,0,0,0,0,0,20,15,15,15,0,0,1,4,7,11,1,3,1
56558.07,9,26,1,41,36,0,14,2,20,2,8,0,0,0,0,1,20,15,15,20,0,0,0,5,8,11,1,1,0
56558.07,0,0,1,33,30,0,16,14,8,14,9,0,0,0,0,0,10,15,23,20,0,0,0,4,8,11,12,1,0
56558.07,0,0,2,41,18,3,16,12,12,14,10,0,0,0,0,0,15,25,20,5,0,0,0,4,8,10,2,1,0
Left,0,0,0,33,35,0,22,12,18,12,11,0,0,0,0,0,30,20,14,5,0,0,0,3,8,11,2,1,0
56558.07,9,27,5,33,35,1,16,12,8,14,12,0,0,0,0,1,20,30,20,30,0,1,0,4,8,10,12,3,1
56558.07,0,0,0,33,35,0,16,12,10,12,13,0,0,0,0,0,25,25,15,15,0,0,1,5,8,11,2,0,0
Left,0,0,0,33,35,0,8,14,0,14,14,0,0,0,0,0,10,25,16,20,0,0,1,4,8,11,2,2,0
56558.07,0,0,0,33,35,0,0,6,0,12,15,0,0,0,0,0,10,30,16,24,0,0,1,4,6,11,2,3,1
Left,0,0,1,33,35,0,22,8,16,10,16,0,0,0,0,0,20,15,12,15,0,0,0,3,7,11,12,1,0
Left,0,0,0,33,35,0,22,14,18,16,17,0,0,0,0,0,20,10,15,20,0,0,1,4,7,11,12,1,0
56558.07,0,0,6,33,35,2,14,12,8,12,18,0,0,0,0,0,15,20,20,25,0,0,0,5,8,10,12,2,0
56558.07,0,0,2,33,35,0,14,10,20,10,19,0,0,0,0,0,20,10,14,25,0,0,0,3,7,11,12,3,1
Right,17,24,3,33,50,3,22,6,18,6,20,0,0,0,0,1,20,10,12,30,0,0,0,4,8,11,12,1,0
56558.07,0,0,1,33,19,3,12,10,18,10,21,0,0,0,0,0,20,20,20,5,0,0,0,5,8,10,1,1,0
Left,10,22,0,33,50,3,20,6,20,12,22,0,0,0,0,1,25,15,15,10,0,0,0,3,7,11,1,1,0
56558.07,0,0,3,41,17,0,16,14,8,16,23,0,0,0,0,0,25,15,15,15,0,0,0,4,8,11,1,1,0
56558.07,0,0,1,34,35,0,6,12,16,14,24,0,0,0,0,0,25,30,14,20,0,0,0,5,8,11,1,1,0
Right,16,26,2,17,32,0,22,10,16,10,25,0,0,0,0,1,30,21,30,25,0,0,0,3,7,10,1,1,0
Right,17,29,3,33,35,0,16,12,12,12,26,0,0,0,0,1,15,20,15,30,0,0,0,4,8,11,1,1,0
56558.07,9,24,1,33,35,0,6,12,14,12,27,0,0,0,0,1,15,30,15,5,0,0,0,5,8,11,2,1,0
56558.07,18,24,2,33,35,3,16,12,8,12,28,0,0,0,0,1,25,25,15,10,0,0,0,3,7,11,2,1,0
56558.07,0,0,0,33,35,0,18,14,6,16,29,0,0,0,0,0,20,20,10,15,1,0,1,4,7,11,2,1,0
Right,0,0,0,33,35,0,22,10,18,10,30,0,0,0,0,0,20,15,10,20,1,0,1,5,8,11,2,1,0
56558.07,0,0,0,33,35,0,16,10,18,16,31,0,0,0,0,0,15,15,12,24,0,0,0,4,7,11,2,1,0
56558.07,18,27,3,33,35,0,14,12,8,12,32,0,0,0,0,1,30,5,5,30,0,0,0,4,8,11,12,1,0
56558.07,18,27,6,33,35,2,6,12,16,14,33,0,0,0,0,1,25,25,15,15,0,0,0,4,7,11,12,1,0
56558.07,8,27,0,30,34,0,18,14,14,14,34,0,0,0,0,1,10,5,15,15,0,0,1,4,8,11,12,0,0
56558.07,0,0,1,33,35,0,18,10,14,10,35,0,0,0,0,0,15,10,12,30,0,0,0,4,7,11,12,1,0
Left,10,27,2,41,37,3,20,8,18,14,36,0,0,0,0,1,10,21,20,30,0,0,0,4,7,11,12,1,0
56558.07,0,0,3,33,35,0,14,12,10,12,37,0,0,0,0,0,15,15,14,5,0,0,1,5,8,11,1,1,0
56558.07,0,0,0,33,35,0,20,12,16,12,38,0,0,0,0,0,30,15,15,10,0,0,1,3,8,11,1,1,0
56558.07,0,0,2,33,35,0,14,12,10,12,39,0,0,0,0,0,20,30,30,15,0,0,0,4,7,10,1,1,0
56558.07,0,0,0,33,35,0,16,14,12,14,40,0,0,0,0,0,20,20,20,20,0,0,0,5,8,10,1,0,0
56558.07,0,0,0,33,35,0,14,12,10,12,41,0,0,0,0,0,30,20,13,25,0,0,0,4,8,11,1,1,0
