9d158d98 u16,8b47a7b4 u16,dca149d u16,6f307274 u16,d3bc90c0 u16,4bccc3f3 u16,f03898ed u16,8e2edf98 u16,c3bb3363 u16,da5f0470 u16,2ba288cf u16,4fbf4bc u16,89f2f5b2 u16,ccd794d1 u16,54a7c7e2 u16,ef539cfc u16,UniqueID,c978d56e u8,NpcLabel,14e0f9c1 u8,e441b193 u32
0,0,436,426,119,117,107,105,119,352,127,218,367,118,117,107,0,1,ant00,0,2
1,1,8,395,16,25,18,25,16,19,379,423,213,16,25,18,1,1,ant01,0,3
2,2,303,283,314,35,287,81,314,273,287,418,150,313,35,287,2,1,ant02,0,1
3,3,447,13,9,20,11,21,9,14,24,263,94,9,20,11,3,1,ant03,0,2
4,4,268,475,474,307,94,474,474,142,307,234,105,474,307,94,4,1,ant05,0,2
5,5,149,172,408,402,436,268,408,357,122,241,364,407,402,436,5,1,ant06,0,1
6,6,413,14,14,6,392,20,14,18,400,231,28,14,6,392,6,1,ant08,0,4
7,7,52,317,307,322,48,154,307,263,29,280,92,306,322,48,7,1,ant09,0,2
8,8,362,440,431,436,437,434,431,376,188,188,42,431,436,437,8,1,,0,2
9,9,107,339,340,465,405,345,340,290,202,114,37,339,465,405,9,1,,0,2
10,10,369,240,117,198,106,124,117,163,78,78,468,116,198,106,10,1,,0,1
11,11,91,70,95,334,87,100,95,444,212,361,351,95,334,87,11,1,,0,6
12,12,58,305,301,304,325,193,301,259,283,172,45,300,304,325,12,1,,0,2
13,13,463,109,189,201,399,221,189,95,108,11,57,188,201,399,13,1,,0,2
14,14,224,264,446,455,457,263,446,391,462,299,472,446,455,457,14,1,,0,1
15,15,289,448,449,458,341,454,449,403,266,51,156,449,458,341,15,1,,0,1
16,16,284,135,188,203,179,220,188,99,404,151,432,187,203,179,16,1,,0,2
17,17,338,329,321,250,470,71,321,279,456,89,378,320,250,470,17,1,,0,1
18,18,101,178,208,36,195,323,208,9,186,62,7,207,36,195,18,1,,0,2
19,19,317,419,86,110,473,321,86,453,211,352,235,86,110,473,19,1,,0,2
20,20,422,40,31,57,142,41,31,32,343,183,403,31,57,142,20,1,,0,2
21,21,423,145,241,202,227,273,241,174,98,21,404,240,202,227,21,1,,0,2
22,22,365,81,280,99,64,133,280,230,88,371,433,279,99,64,22,1,,0,1
23,23,37,187,215,226,162,234,215,111,227,350,216,214,220,162,23,1,brd00,0,2
24,24,458,202,374,29,394,398,374,319,273,416,346,373,29,394,24,1,brd01,0,1
25,25,131,20,10,69,297,0,10,20,27,279,419,10,69,297,25,1,brd02,0,7
26,26,171,446,447,443,447,442,447,375,306,448,420,447,443,447,26,1,brd03,0,2
27,27,173,5,218,88,164,69,218,118,139,75,244,217,88,164,27,1,brd04,0,1
28,28,219,182,341,51,327,203,341,271,454,414,460,340,51,327,28,1,brd05,0,1
29,29,215,17,1,44,273,3,1,7,33,324,135,1,44,273,29,1,brd06,0,2
30,30,403,12,284,333,295,300,284,236,39,450,21,283,333,295,30,1,brd08,0,7
31,31,452,163,0,457,57,31,0,462,327,428,107,0,457,57,31,1,brd09,0,2
32,32,448,193,213,383,199,455,212,112,151,287,121,211,383,199,32,1,brd11,0,2
33,33,353,258,259,360,97,266,259,216,380,125,402,258,360,97,33,1,brd15,0,3
34,34,464,341,212,199,198,472,213,139,166,344,416,212,199,198,34,1,brd16,0,1
35,35,379,340,326,352,350,190,326,282,330,154,51,325,352,350,35,1,brd17,0,3
36,36,466,309,410,219,111,349,410,360,219,359,153,409,219,111,36,1,brd18,0,2
37,37,348,11,11,12,13,19,11,15,184,173,237,11,12,13,37,1,bul00,0,2
38,38,236,439,378,394,150,387,378,322,466,91,453,377,394,150,38,1,bul01,0,6
39,39,257,63,419,466,41,80,419,368,410,147,55,419,466,41,39,1,bul03,0,1
40,40,239,276,423,71,429,459,430,380,364,405,451,423,71,429,40,1,bul05,0,6
41,41,99,22,103,87,20,148,103,185,236,353,11,103,87,20,41,1,bul07,0,2
42,42,229,227,452,34,454,329,452,74,272,53,431,452,34,454,42,1,bul08,0,6
43,43,26,192,51,28,391,60,51,50,264,470,191,51,28,391,43,1,cat00,0,1
44,44,454,290,288,293,306,471,288,240,373,117,370,287,293,306,44,1,cat01,0,4
45,45,306,406,384,290,404,219,384,324,323,198,348,383,290,404,45,1,cat02,0,3
46,46,57,43,309,323,336,295,309,265,59,309,371,308,323,336,46,1,cat03,11,0
47,47,449,223,237,1,225,241,237,167,85,369,120,236,1,225,47,1,cat04,0,4
48,48,96,421,428,451,279,28,427,395,314,177,277,428,451,279,48,1,cat05,0,2
49,49,121,204,353,178,72,160,353,275,321,209,405,352,178,72,49,1,cat06,0,3
50,50,416,123,354,469,352,159,354,286,197,388,14,353,469,352,50,1,cat07,4,0
51,51,332,442,289,452,309,304,289,245,173,343,38,288,452,309,51,1,cat08,0,1
52,52,141,209,225,230,216,237,225,147,69,4,47,224,230,216,52,1,cat09,0,2
53,53,38,346,235,194,61,470,235,165,471,0,180,234,194,61,53,1,cat10,0,2
54,54,465,299,291,297,311,283,291,242,140,332,242,290,297,311,54,1,cat11,0,1
55,55,399,474,424,245,443,261,423,392,250,463,18,424,245,443,55,1,cat12,0,6
56,56,287,408,417,285,456,362,417,366,10,76,138,417,285,456,56,1,cat13,0,3
57,57,467,213,239,233,226,152,239,171,165,237,95,238,233,226,57,1,cat14,0,5
58,58,2,432,440,473,449,230,440,386,300,179,194,440,473,449,58,1,cat15,0,3
59,59,342,295,283,432,434,239,283,234,129,317,318,282,432,434,59,1,cat16,0,3
60,60,259,292,156,284,289,297,156,408,393,301,246,155,284,289,60,1,cat17,0,2
61,61,292,116,255,174,247,286,255,211,436,217,447,254,174,247,61,1,cat18,0,3
62,62,435,228,13,344,326,110,13,17,257,385,473,13,344,326,62,1,cat19,0,6
63,63,87,162,389,408,407,208,389,334,214,349,281,388,408,407,63,1,cat20,0,2
