Music,MustFtr1,MustFtr2,MustFtr3,OutdoorFtr1,OutdoorFtr2,RoomSizeX,RoomSizeY,SortID,UniqueID,OutdoorRebodyNum1,OutdoorRebodyNum2,OutdoorRefabricNum1,OutdoorRefabricNum2,RebodyNum1,RebodyNum2,RebodyNum3,RefabricNum1,RefabricNum2,RefabricNum3
2472,13746,14621,65535,12602,65535,6,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2483,12999,12996,12994,65535,65535,6,6,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2485,1840,4076,1288,65535,65535,6,6,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2416,13141,65535,65535,3595,65535,6,6,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7659,13344,13578,65535,7259,65535,6,6,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2423,3596,1288,65535,65535,65535,6,6,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2466,716,13611,12818,65535,65535,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2409,1840,3957,65535,65535,65535,6,6,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2406,3672,13696,65535,14049,65535,6,6,8,8,4,-1,3,-1,-1,-1,-1,-1,-1,-1
2427,3974,4129,997,65535,65535,6,6,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2436,3965,1627,1626,65535,65535,6,6,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7667,3230,3622,65535,65535,65535,6,6,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2431,3672,7159,7160,65535,65535,6,6,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2474,13746,65535,65535,12606,13370,6,6,13,13,3,-1,-1,-1,-1,-1,-1,4,-1,-1
2422,667,7233,65535,65535,65535,6,6,14,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2490,12608,7527,12305,65535,65535,6,6,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2428,13633,3065,65535,13622,65535,6,6,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4314,1009,9503,65535,65535,65535,6,6,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2430,12312,667,12358,65535,65535,6,6,18,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2424,2605,2560,12675,65535,65535,6,6,19,19,-1,-1,-1,-1,5,5,-1,3,-1,-1
2437,12613,65535,65535,1625,967,6,6,20,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2428,5956,65535,65535,14018,65535,6,6,21,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2494,13344,4002,3998,65535,65535,6,6,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7665,13523,65535,65535,4226,13647,6,6,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2479,3951,3950,794,65535,65535,6,6,24,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2445,12879,12776,1868,65535,65535,6,6,25,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2455,1852,1853,1009,65535,65535,6,6,26,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2414,1177,338,2010,65535,65535,6,6,27,27,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
2418,3978,4054,13985,65535,65535,6,6,28,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2473,2736,65535,65535,2326,5979,6,6,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2478,13140,13584,13591,65535,65535,6,6,30,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2462,3064,13637,65535,13347,65535,6,6,31,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7658,3943,7525,14621,65535,65535,6,6,32,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2450,1456,7529,7152,65535,65535,6,6,33,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2494,941,1850,12516,65535,65535,6,6,34,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2435,7868,1632,11489,65535,65535,6,6,35,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2457,13464,8225,65535,12612,65535,6,6,36,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2482,13513,65535,65535,2335,665,6,6,37,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2424,14216,14604,65535,65535,65535,6,6,38,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2452,4036,5970,13266,65535,65535,6,6,39,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2490,4117,5970,4008,65535,65535,6,6,40,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2448,1598,13624,146,65535,65535,6,6,41,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2424,13362,1266,65535,14017,65535,6,6,42,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2480,2883,2887,2879,65535,65535,6,6,43,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2476,14188,65535,65535,14108,12361,6,6,44,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2492,4116,3672,7527,65535,65535,6,6,45,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2412,3957,2561,65535,65535,65535,6,6,46,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2421,12773,12776,12709,65535,65535,6,6,47,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7658,4137,1851,4759,65535,65535,6,6,48,48,-1,-1,-1,-1,2,2,2,-1,-1,-1
2423,896,7136,13696,65535,65535,6,6,49,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2457,1849,7047,65535,65535,65535,6,6,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2486,13469,13748,4392,65535,65535,6,6,51,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2430,689,13192,65535,65535,65535,6,6,52,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2450,1126,4761,65535,65535,65535,6,6,53,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
