416eaf25 u32,f89574cd u32,e9e81eb4 u32,5013c55c u32,cb12ca46 u32,72e911ae u32,63947bd7 u32,da6fa03f u32,8ee763a2 u32,7328de13 u32,649ed9ae string,ec47b5b2 u16,3e4510fa u16,UniqueID,8f30aa9f u8,f50743fb u8,4dbb249e u8,5f0e8b70 u8,e7b2ec15 u8,7a65d4ac u8,c2d9b3c9 u8,d06c1c27 u8,68d07b42 u8,30b36b14 u8,ace47bb9 string32,Label,94a611be u8,94f6a567 u8,b61d49c8 u8,e447fe58 u8,1a9174c6 u8,2409dcb4 string
0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,0,0,0,0,0,
Teacher_Book_Explain,Teacher_Walk,Teacher_Book,Teacher_WatchWindow,Teacher_ConversationAnswer,0,0,0,0,Teacher_Stock,VillagerRandom,0,2,1,0,35,25,15,10,15,0,0,0,0,AI_NPC_Wherearen_SchoolTeacher,SchoolTeacher,0,0,1,0,1,
Student_Sleep,Student_Book,Student_StareSleeping,Student_Eat,Walk,WaitConversationAnswer,-813146.4,Book,WaitConversation,Student_Stock,VillagerRandom,0,5,2,1,12,16,12,12,12,6,12,12,6,AI_NPC_Wherearen_SchoolStudent,SchoolStudent,1,0,0,0,2,
Reception_Wait,Reception_Looking,0,0,0,0,0,0,0,Reception_Stock,VillagerRandom,0,4,3,0,50,50,0,0,0,0,0,0,0,AI_NPC_HospitalReception,HospitalReception,0,0,0,0,3,
HospitalPatient_Sit,Book,Sit,-813146.4,0.09759402,0,0,0,0,HospitalPatient_Stock,VillagerRandom,0,0,4,1,20,30,10,20,20,0,0,0,0,AI_NPC_HospitalPatient,HospitalPatient,1,1,0,0,4,
HospitalDoctor,HospitalDoctorStand,0,0,0,0,0,0,0,HospitalDoctor_Stock,VillagerRandom,0,3,5,0,50,50,0,0,0,0,0,0,0,AI_NPC_HospitalDoctor,HospitalDoctor,0,0,1,0,5,
HospitalExamination_Sit,0,0,0,0,0,0,0,0,HospitalExamination_Stock,VillagerRandom,0,0,6,1,100,0,0,0,0,0,0,0,0,AI_NPC_HospitalExamination,HospitalExamination,1,1,0,0,6,
HospitalPatient_Bed,Bed,Walk,WaitConversation,WaitConversationAnswer,0,0,0,0,Reception_Stock,VillagerRandom,0,6,7,1,20,20,20,20,20,0,0,0,0,AI_NPC_HospitalInpatient,HospitalInpatient,1,0,0,0,7,
-31385.16,RestaurantCashier_OrderList,0,0,0,0,0,0,0,RestaurantCashier_Stock,VillagerRandom,0,9,8,0,50,50,0,0,0,0,0,0,0,AI_NPC_RestaurantCashier,RestaurantCashier,0,0,2,0,8,
Waiter_Walk,Waiter_StandBy,0,0,0,0,0,0,0,Waiter_Stock,VillagerRandom,0,9,9,0,50,50,0,0,0,0,0,0,0,AI_NPC_RestaurantWaiter,RestaurantWaiter,0,0,0,0,9,
